Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
144811,-0.020125714,0.968616063,0.689210674,-0.385522619,0.06913214,-1.607656935,1.112659846,-0.329543125,-0.277642607,-0.446633894,0.064707773,1.034665656,0.987720926,-0.059616897,-0.592827381,-0.406391134,-0.149077137,-1.178125697,-0.428199655,0.007914896,-0.188041327,-0.314303048,0.1694947,0.955041955,-0.569440422,0.07911502,0.255291342,0.109001191,4.47,0
58655,0.613721917,-0.718160391,0.764628293,-0.404101427,-0.736862567,1.783076609,-1.519759683,-0.376618921,-0.581455206,0.868497433,-0.178313574,-0.567933054,0.137532995,-0.315963873,0.845823607,1.006151185,0.345879048,-0.118702933,2.506481887,0.321204315,1.131686353,0.749692254,-0.337719066,-1.638973271,0.334430996,0.294661905,0.282522306,0.257230562,90,0
89279,-0.779886285,0.852705261,0.124419111,-0.430839759,1.292884079,-0.595338207,0.841745523,-0.33954213,-0.094919459,-0.116616483,1.08226518,-0.087234139,-1.068735355,-0.851995653,-0.474795506,0.154532594,0.308838194,0.389863541,0.711021714,-0.206104129,-0.238553518,-0.626319164,-0.133969932,0.667198525,-0.78379425,0.081279893,-0.541501562,-0.014815891,1.79,0
139881,2.117311455,0.062882371,-2.179987903,-0.121104081,0.605307225,-1.339280373,0.679669556,-0.434656805,0.022810302,0.203815506,0.726457753,0.642586576,-0.506967268,1.067054869,-0.265468931,-0.3397459,-0.595966783,0.094555772,0.517413264,-0.253876373,0.172774597,0.603301182,-0.086747154,-0.286945798,0.439629199,0.242275731,-0.092109896,-0.093509303,0.77,0
34431,-2.080005805,1.118738789,1.482045919,0.360311486,-0.28240825,0.173112324,0.075964811,0.806173887,-0.338787113,-0.64267548,0.783494745,0.960159715,-0.710510343,0.341132364,-1.408946639,-0.259595026,0.137968925,-0.238025715,-0.571164128,-0.558243384,0.099156767,0.381010905,-0.149176549,0.226371845,0.628621872,-0.393144419,-0.662983674,-0.356831239,24.95,0
142675,-0.923654019,-0.62102009,-0.267883608,-2.47784377,0.812425053,1.022321996,1.602435066,-0.243217042,-1.249705955,-0.104993556,-0.610667406,-1.306544859,-0.570571445,-0.130233042,0.176585468,0.080419465,0.612723168,-2.66186027,-0.888232119,-0.057277416,0.317728503,1.084892675,-0.231279485,-0.516722533,0.230658556,-0.06469031,-0.05794619,-0.186112725,268.74,0
46691,-1.385461676,1.028128507,2.009492832,-0.100454604,-0.310392026,-0.291717855,0.790015838,-0.51730142,1.712836125,1.537683238,-0.677856175,-0.505039067,-0.776940215,-1.269994166,0.083767918,-0.446023871,-0.426417751,-0.076729456,-0.001751052,0.694810987,-0.176417785,0.594213511,-0.306094682,0.426455483,-0.015468055,0.378687827,0.140045829,-0.130392135,29.99,0
128013,-0.289879575,0.440875492,1.651408145,-0.797968067,0.372185431,0.236431249,0.486915915,-0.040940857,0.338399115,-0.637470665,0.409676141,0.996014578,0.768458061,-0.473488715,-0.620870292,0.159138831,-1.056649876,0.774193105,0.064340143,0.014385799,0.268980492,1.132369139,-0.367400268,-0.416491739,-0.197130353,-0.267853129,0.027890874,-0.066627221,8.72,0
67611,-1.155572498,-0.137193502,2.627846957,-1.33610986,-1.783573613,0.512749553,-1.355101694,1.101359392,0.437965046,-0.503652721,-1.808174681,-1.788500825,-3.121570768,-0.629572944,-1.401417369,0.670535459,1.295322339,-1.319517282,0.122215191,-0.162516248,0.173675355,0.639597278,-0.293026234,0.060085571,0.398880671,-0.070512856,0.21928758,0.055814328,1,0
150071,0.084208866,0.840903189,-0.027335778,-0.77094862,0.81541319,-0.597169756,1.002031089,-0.143011233,-0.01920991,-0.425500203,-1.529365661,-0.008619634,0.301053001,0.040584851,-0.317744674,0.063115842,-0.638258361,-0.607735827,0.12920676,-0.003769107,-0.301145407,-0.674895311,-0.012901789,-0.778170432,-0.396149139,0.189974273,0.249410753,0.089697339,5.99,0
